1,2,4,8,16,32,64,128,256,512,1024,2048
3678,3749,4790,6874,11041,19372,36041,69376,136044,269378,536051,1069446
3176,3749,4790,6874,11040,19376,36040,69373,136040,269376,536041,1069429
3176,3749,4791,6874,11040,19374,36040,69373,136041,269375,536042,1069379
3176,3749,4790,6874,11041,19374,36041,69374,136042,269373,536042,1069376
3176,3749,4790,6874,11040,19374,36040,69374,136040,269375,536044,1069378
3176,3749,4791,6874,11040,19374,36040,69373,136040,269373,536041,1069377
3176,3749,4790,6874,11041,19374,36040,69376,136040,269375,536042,1069379
3176,3749,4790,6874,11040,19374,36040,69373,136042,269375,536042,1069428
3176,3749,4791,6874,11040,19374,36040,69373,136040,269373,536044,1069430
3176,3749,4790,6874,11041,19374,36040,69373,136040,269375,536041,1069429
3175,3749,4792,6874,11040,19374,36040,69373,136042,269375,536041,1069429
3175,3749,4791,6874,11040,19374,36040,69373,136040,269373,536042,1069430
3176,3749,4790,6874,11041,19374,36043,69375,136041,269375,536044,1069376
3176,3749,4790,6874,11040,19374,36040,69373,136042,269376,536042,1069379
3176,3749,4791,6874,11040,19374,36040,69373,136040,269374,536041,1069377
3176,3749,4790,6874,11041,19374,36041,69373,136041,269376,536042,1069378
3176,3749,4790,6874,11040,19374,36040,69373,136042,269374,536044,1069376
3176,3749,4791,6874,11040,19374,36040,69373,136040,269376,536042,1069431
3176,3749,4790,6874,11041,19374,36041,69375,136040,269376,536041,1069429
3176,3749,4790,6874,11040,19374,36040,69373,136042,269374,536041,1069428
3176,3749,4791,6874,11042,19374,36040,69373,136040,269375,536044,1069430
3176,3749,4790,6874,11041,19374,36041,69373,136040,269375,536042,1069429
3176,3749,4790,6874,11040,19374,36040,69373,136042,269373,536042,1069379
3175,3749,4791,6874,11040,19376,36040,69373,136040,269375,536041,1069376
3175,3749,4790,6874,11041,19374,36043,69375,136040,269373,536042,1069378
3176,3749,4790,6874,11040,19374,36040,69373,136042,269375,536044,1069377
3176,3749,4791,6874,11040,19374,36040,69373,136040,269375,536041,1069377
3176,3749,4790,6874,11041,19374,36041,69373,136040,269321,536041,1069431
3176,3749,4790,6874,11040,19374,36040,69373,136042,269323,536042,1069428
3176,3749,4791,6874,11040,19374,36040,69373,136040,269323,536044,1069431
